h3_cell,grid_lat,grid_lon,year,actual_hrs,actual_risk_label,predicted_risk_label,predicted_prob_High,predicted_prob_Low,predicted_prob_Medium,eq_count_3yr,seismic_energy_3yr,mean_depth_3yr
854a2023fffffff,26,129,2012,9.802059991327962,Medium,Medium,0.28230554406501895,0.022963853274705345,0.6947306026602754,37,222008874.4811891,21.783783783783782
854a2023fffffff,26,129,2013,9.402059991327963,Medium,Medium,0.4437813539274028,0.022618128330994428,0.5336005177416028,16,129046521.1228244,23.36125
854a2023fffffff,26,129,2014,9.802059991327962,Medium,Medium,0.2874683866416658,0.053608360639063504,0.6589232527192708,9,39746491.08132535,20.97222222222222
854a2023fffffff,26,129,2015,11.245098040014256,High,High,0.6519233440935571,0.04446758045828778,0.30360907544815485,9,41732300.47189144,19.782222222222224
854a2023fffffff,26,129,2016,10.578151250383645,Medium,Medium,0.26356866561261755,0.030936497894304745,0.7054948364930779,12,140259147.90956637,16.648333333333333
854a2023fffffff,26,129,2017,10.441392685158226,Medium,Medium,0.2669419761692732,0.014170953094099478,0.7188870707366272,14,165221585.6141431,14.192142857142857
854a2023fffffff,26,129,2018,11.142422680822207,High,High,0.8054983898281742,0.005508004469837523,0.1889936057019882,21,214942610.99324235,12.438571428571429
854a2023fffffff,26,129,2019,11.503089986991943,High,High,0.5087437334430842,0.03391880048260669,0.45733746607430903,36,306953169.90706015,11.514444444444443
854a2023fffffff,26,129,2020,10.913943352306838,High,Medium,0.46458816334519737,0.03539356179432241,0.5000182748604803,38,430802981.4001413,11.046315789473685
854a2023fffffff,26,129,2021,11.241392685158225,High,Medium,0.4707286070992604,0.021787315114482054,0.5074840777862576,40,465271578.93347377,10.96325
854a2023fffffff,26,129,2022,12.04715803134222,High,High,0.5329126141974689,0.013267715578970652,0.4538196702235605,29,336748809.0882428,11.137827586206894
854a2023fffffff,26,129,2023,10.645098040014258,Medium,High,0.5536227273346107,0.04507712805115098,0.4013001446142382,49,685819811.4094565,11.127755102040815
854a2023fffffff,26,129,2024,10.778151250383644,High,High,0.507978802436222,0.04892523908823947,0.4430959584755387,43,644083899.672581,10.957674418604652
854a2177fffffff,26,130,2002,0.0,Low,Low,0.11275879460692881,0.7844520127857296,0.10278919260734169,0,0.0,0.0
854a2177fffffff,26,130,2003,0.0,Low,Low,0.14971957432592137,0.7725936813624646,0.0776867443116142,0,0.0,0.0
854a2177fffffff,26,130,2004,11.113943352306835,High,Low,0.3593227220682402,0.5504479684738284,0.0902293094579313,0,0.0,0.0
854a2177fffffff,26,130,2005,8.301029995663981,Low,Low,0.22515570519510777,0.5412228861040201,0.23362140870087203,12,73441919.09884843,20.4
854a2177fffffff,26,130,2006,8.50102999566398,Medium,Medium,0.21440725743417924,0.16341899133208404,0.6221737512337369,13,74441919.09884845,21.52307692307692
854a2177fffffff,26,130,2007,0.0,Low,Low,0.25731375906890147,0.4090977316486175,0.3335885092824812,14,75854456.6434712,20.7
854a2177fffffff,26,130,2008,0.0,Low,Low,0.07543189429713683,0.6653493269939849,0.2592187787088784,2,2412537.544622753,22.5
854a2177fffffff,26,130,2009,14.0,High,High,0.7574362043120071,0.22478870182341285,0.01777509386458022,1,1412537.5446227526,10.0
854a2177fffffff,26,130,2010,0.0,Low,Low,0.15531328313446968,0.6171162283769912,0.22757048848853922,9,5686170536.177608,11.122222222222222
854a2177fffffff,26,130,2011,9.101029995663982,Medium,Medium,0.1680386660881831,0.12227361863122072,0.7096877152805962,9,5686170536.177608,11.122222222222222
854a2177fffffff,26,130,2012,9.701029995663982,Medium,Medium,0.11195058124351447,0.10119057512212716,0.7868588436343584,10,5690151607.883142,11.01
854a2177fffffff,26,130,2013,9.90102999566398,Medium,Medium,0.0921521449840203,0.18476086222157295,0.7230869927944066,2,15201256.24855463,18.965
854a2177fffffff,26,130,2014,0.0,Low,Low,0.1863338767310236,0.4134934183178763,0.40017270495110024,3,31050188.17316573,20.44666666666667
854a2177fffffff,26,130,2015,8.901029995663981,Medium,Medium,0.0799909595153876,0.2901380268215259,0.6298710136630863,2,27069116.46763076,25.67
854a2177fffffff,26,130,2016,10.277121254719663,Medium,Medium,0.15432131787285547,0.1609087445909634,0.6847699375361809,2,18667314.85587556,15.005
854a2177fffffff,26,130,2017,9.802059991327962,Medium,Medium,0.19260282809931858,0.06869193022790968,0.7387052416727716,3,27200856.63191676,8.866666666666667
854a2177fffffff,26,130,2018,12.255272505103306,High,High,0.652590706975422,0.044590293178450466,0.30281899984612737,6,43106282.39022952,12.731666666666664
854a2177fffffff,26,130,2019,9.877121254719665,Medium,High,0.6285342540759024,0.04368545641932738,0.3277802895047703,22,503384057.2550669,10.899545454545454
854a2177fffffff,26,130,2020,0.0,Low,Medium,0.2740458471115158,0.09943016902555807,0.6265239838629262,22,498165050.4446771,10.899545454545454
854a2177fffffff,26,130,2021,0.0,Low,Medium,0.30802221736596735,0.30649854312354313,0.3854792395104895,19,482259624.6863643,10.0
854a2177fffffff,26,130,2022,0.0,Low,Low,0.05756355517498359,0.49401205611485044,0.4484243887101658,2,19163466.89026246,10.0
854a2177fffffff,26,130,2023,9.802059991327962,Medium,Low,0.2402628909269328,0.6814936431818075,0.07824346589125977,0,0.0,0.0
854a2177fffffff,26,130,2024,9.077121254719662,Medium,Low,0.2499814490430698,0.4196972288823074,0.33032132207462284,3,15561957.91411518,10.0
854a45d3fffffff,26,138,2002,0.0,Low,Low,0.02757361176846055,0.8763337191668772,0.09609266906466216,0,0.0,0.0
854a45d3fffffff,26,138,2003,0.0,Low,Low,0.03498992230977109,0.8909244157086608,0.07408566198156812,0,0.0,0.0
854a45d3fffffff,26,138,2004,0.0,Low,Low,0.059836444747487824,0.8559520492305123,0.08421150602199971,0,0.0,0.0
854a45d3fffffff,26,138,2005,0.0,Low,Low,0.023991623921281312,0.833525905604586,0.1424824704741326,0,0.0,0.0
