grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy,target_hrs,risk_label
28,143,2006,16,0,4.481249999999999,5.0,31.5875,124710476.88537064,0.0,0.0,-0.4812499999999993,1,4.3,2818382.9312644494,8.901029995663981,Medium
28,143,2007,10,1,4.5,5.0,31.579999999999995,85175525.62947449,2818382.9312644494,0.2173913043478261,-0.2222222222222223,10,4.5,28854350.703000125,10.041392685158225,Medium
28,143,2008,11,10,4.2727272727272725,4.5,27.827272727272728,31672733.634264573,28854350.703000125,16.666666666666668,-0.0300000000000002,5,4.4,13608362.19800164,9.578151250383645,Medium
28,143,2009,16,5,4.275,4.5,26.88125,45281095.83226622,13608362.19800164,0.8928571428571429,0.0072727272727277,3,4.9,29186666.02248285,10.402059991327963,Medium
28,143,2010,18,3,4.316666666666666,4.9,26.50555555555556,71649378.92348462,29186666.02248285,0.3947368421052631,0.2600000000000015,11,5.1,198380902.654338,11.279181246047624,High
28,143,2011,19,11,4.594736842105263,5.1,19.49473684210526,241175930.8748225,198380902.654338,2.682926829268293,0.3795454545454539,5,5.2,83461884.68396515,11.178151250383644,High
28,143,2012,19,5,4.678947368421052,5.2,21.268421052631577,311029453.360786,83461884.68396515,0.7042253521126761,-0.1071428571428576,6,4.8,44977585.43787258,10.445098040014257,Medium
28,143,2013,22,6,4.659090909090909,5.2,21.812272727272727,326820372.77617574,44977585.43787258,0.7407407407407408,-0.1729166666666675,20,5.1,239481137.3463883,11.522219294733919,High
28,143,2014,31,20,4.612903225806452,5.2,26.213548387096772,367920607.4682261,239481137.3463883,3.571428571428572,0.076363636363637,9,5.0,73984129.26978183,11.0,High
28,143,2015,35,9,4.5857142857142845,5.1,24.106857142857148,358442852.0540427,73984129.26978183,0.6870229007633588,-0.1153846153846149,6,4.9,50011335.52294097,10.645098040014258,Medium
28,143,2016,35,6,4.585714285714285,5.1,22.034,363476602.1391111,50011335.52294097,0.4109589041095891,-0.0632183908045966,2,4.5,8441796.18316794,9.477121254719663,Medium
28,143,2017,17,2,4.499999999999999,5.0,18.05705882352941,132437260.97589074,8441796.18316794,0.2631578947368421,-0.1133333333333324,5,4.8,39020112.48119588,10.378151250383644,Medium
28,143,2018,13,5,4.523076923076923,4.9,15.13,97473244.18730478,39020112.48119588,1.2195121951219514,0.0599999999999996,11,5.1,164899664.13671368,11.279181246047624,High
28,143,2019,18,11,4.627777777777777,5.1,14.007777777777775,212361572.8010775,164899664.13671368,3.055555555555556,0.1857142857142859,13,5.2,171508284.4383184,11.546128035678239,High
28,143,2020,29,13,4.6448275862068975,5.2,12.388275862068966,375428061.0562279,171508284.4383184,1.6049382716049383,-0.0254807692307688,11,5.1,133203319.58855848,11.279181246047624,High
28,143,2021,35,11,4.637142857142858,5.2,11.398857142857144,469611268.1635905,133203319.58855848,0.9090909090909092,-0.0806818181818194,25,5.9,948384135.3306506,13.214973347970819,High
28,143,2022,49,25,4.606122448979592,5.9,10.637142857142855,1253095739.3575273,948384135.3306506,2.066115702479339,-0.0043333333333333,4,4.9,35046575.43411316,10.49897000433602,Medium
28,143,2023,40,4,4.5875,5.9,10.52925,1116634030.353322,35046575.43411316,0.2209944751381215,-0.0972222222222223,7,4.8,60492457.65771047,10.503089986991943,Medium
28,143,2024,36,7,4.5888888888888895,5.9,10.570472222222222,1043923168.4224744,60492457.65771047,0.4794520547945206,-0.0039408866995067,9,4.8,59871423.94244133,10.6,Medium
