grid_lat,grid_lon,avg_annual_count,max_magnitude,avg_magnitude,avg_depth,avg_energy,cluster
25,138,0.043478260869565216,4.3,4.039130434782609,1.3043478260869565,122538.38831584563,0
25,139,0.08695652173913043,4.2,4.034782608695652,1.7391304347826086,173501.07086685937,0
25,141,3.8260869565217392,5.4,4.448954649002603,138.8950904035933,41130705.55206059,1
25,142,2.652173913043478,6.3,4.468548320818142,96.67609170206036,152979878.5291546,1
25,143,4.782608695652174,5.8,4.518076573185269,30.58586038647343,93448680.8816583,1
25,144,0.391304347826087,4.7,4.275362318840579,24.06811594202898,1935658.3372237368,0
25,146,0.13043478260869565,4.8,4.208695652173913,7.059130434782608,1035264.1450296115,0
26,123,0.2608695652173913,5.7,4.370652173913044,54.78934057971014,18404446.81342418,1
26,124,1.3043478260869565,6.0,4.422512077294686,178.46845893719808,46293513.584822305,2
26,125,5.173913043478261,6.3,4.550083087202652,96.63536314942516,349827070.89674854,1
26,126,4.521739130434782,5.9,4.4722800733139465,65.04149357642694,70687030.5407938,1
26,127,2.6956521739130435,5.4,4.433489292037885,55.87104039234423,32784344.47823627,1
26,128,7.304347826086956,7.0,4.565784363322369,21.690390742667496,1494167908.1127293,1
26,129,8.652173913043478,6.1,4.470357181007957,20.05559043769071,151865813.07005328,1
26,130,2.347826086956522,6.5,4.433523176543772,12.254852707678795,275391436.78195447,1
26,138,0.043478260869565216,4.2,4.0260869565217385,4.565217391304348,86750.53543342969,0
26,140,0.2608695652173913,6.1,4.410869565217391,195.33536231884057,5118711.168991514,2
26,141,3.5652173913043477,5.3,4.462369790997803,168.25601213022483,38247142.44940473,2
26,142,3.3043478260869565,5.4,4.4260285856513475,40.98942445803344,28526412.64144337,1
26,143,4.565217391304348,5.8,4.532948054361098,26.756810745775965,66945023.591035016,1
26,144,1.9130434782608696,6.3,4.531977374004228,14.329433010439404,187757193.20712045,1
26,145,0.5652173913043478,5.7,4.348685300207039,7.719122153209111,18691039.720956333,1
27,125,0.5652173913043478,6.3,4.35,130.7882463768116,124920991.87309341,1
27,126,6.391304347826087,6.9,4.64980957337076,107.87268108993558,1113161685.1660612,1
27,127,6.217391304347826,6.5,4.5884039452400245,72.14632222589027,446825971.92137694,1
27,128,3.0,5.7,4.5520060012451316,53.18789982239982,51364942.32234642,1
27,129,3.0869565217391304,5.8,4.645694993412384,32.25297757073844,104494033.84853931,1
27,130,6.913043478260869,6.0,4.519282329905268,22.421841532993415,232752279.04605898,1
27,131,0.17391304347826086,4.7,4.202173913043478,4.364347826086957,1128822.6750896473,0
27,132,0.043478260869565216,4.3,4.039130434782609,1.3043478260869565,122538.38831584563,0
27,139,0.08695652173913043,6.2,4.191304347826088,98.70000000000002,87095895.53548372,1
27,140,5.695652173913044,6.6,4.477817397924141,427.37316982674275,688928537.8439014,2
27,141,3.347826086956522,5.7,4.489172193251477,156.3017817266564,46272630.988425866,1
27,142,2.391304347826087,6.2,4.456049264744917,44.41655522376175,126644446.84812757,1
27,143,18.956521739130434,6.0,4.521289692012724,22.072860889734812,320432379.7855824,1
27,144,30.391304347826086,7.4,4.360939932245516,28.009456285260264,5937761939.855681,1
27,145,0.043478260869565216,4.7,4.108695652173913,6.315652173913043,345360.102054035,0
28,126,0.08695652173913043,4.6,4.104347826086957,51.011130434782615,467898.49036988063,0
28,127,1.2173913043478262,5.3,4.3571047430830045,148.72489833113747,8723684.150384154,2
28,128,5.434782608695652,6.0,4.526308143897578,53.525705171851634,131506757.64190781,1
28,129,2.608695652173913,5.5,4.442139008334661,55.724362864188954,26872417.007165577,1
28,130,3.8260869565217392,6.2,4.581050200864779,31.696403723386588,75154253.60499579,1
28,131,1.2173913043478262,5.9,4.33188594014681,17.304391492565404,43102294.59097451,1
28,132,0.21739130434782608,5.5,4.2123188405797105,4.509420289855073,9117856.639902452,0
28,138,0.043478260869565216,4.4,4.052173913043478,69.11765217391304,173090.07415369467,0
28,139,3.217391304347826,6.8,4.474957186888133,509.1958147996505,820684537.2865511,2
28,140,9.608695652173912,7.8,4.377950748687125,450.5088706253537,22475332529.00859,2
28,141,2.391304347826087,5.1,4.4249235781269025,100.41000995615639,15304333.684482742,1
28,142,4.0,5.9,4.51674174184724,37.83389277376502,46017476.13256787,1
