grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy
36,135,2013,2,1,4.45,4.5,363.4,9604484.957438469,5623413.251903491,1.6666666666666667,0.09999999999999964,0,0.0,0.0
36,135,2014,1,0,4.5,4.5,359.2,5623413.251903491,0.0,0.0,-0.5,1,4.6,7943282.347242805
36,135,2015,2,1,4.55,4.6,360.92499999999995,13566695.599146295,7943282.347242805,1.6666666666666667,0.09999999999999964,0,0.0,0.0
36,135,2016,1,0,4.6,4.6,362.65,7943282.347242805,0.0,0.0,-0.5999999999999996,0,0.0,0.0
36,135,2017,1,0,4.6,4.6,362.65,7943282.347242805,0.0,0.0,-0.5999999999999996,0,0.0,0.0
36,135,2018,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,4.2,1995262.3149688828
36,135,2019,1,1,4.2,4.2,353.85,1995262.3149688828,1995262.3149688828,10.0,0.20000000000000018,0,0.0,0.0
36,135,2020,1,0,4.2,4.2,353.85,1995262.3149688828,0.0,0.0,-0.20000000000000018,0,0.0,0.0
36,135,2021,1,0,4.2,4.2,353.85,1995262.3149688828,0.0,0.0,-0.20000000000000018,0,0.0,0.0
36,135,2022,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36,135,2023,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,4.5,8441796.18316794
36,135,2024,2,2,4.4,4.5,190.1315,8441796.18316794,8441796.18316794,20.0,0.40000000000000036,0,0.0,0.0
36,136,2002,3,2,4.466666666666667,4.6,21.833333333333332,15905425.75831276,11924354.052777782,3.3333333333333335,0.09999999999999964,2,4.2,3407799.8595916354
36,136,2003,4,2,4.325,4.6,18.875,15332153.912369419,3407799.8595916354,1.8181818181818181,-0.34999999999999964,2,4.4,5393609.25015773
36,136,2004,6,2,4.3,4.6,28.983333333333334,20725763.162527148,5393609.25015773,0.9523809523809523,-0.07500000000000018,0,0.0,0.0
36,136,2005,4,0,4.2,4.4,35.35,8801409.109749366,0.0,0.0,-0.20000000000000018,2,4.2,2995262.314968883
36,136,2006,4,2,4.175,4.4,116.57499999999999,8388871.565126613,2995262.314968883,1.8181818181818181,-0.15000000000000036,4,4.2,7398324.489529401
36,136,2007,6,4,4.1499999999999995,4.2,70.08333333333333,10393586.804498283,7398324.489529401,3.6363636363636362,0.07500000000000018,2,4.2,2995262.314968883
36,136,2008,8,2,4.1375,4.2,97.76249999999999,13388849.119467167,2995262.314968883,0.6451612903225806,-0.04999999999999982,1,4.9,22387211.385683425
36,136,2009,7,1,4.257142857142857,4.9,61.77142857142858,32780798.190181714,22387211.385683425,0.3225806451612903,0.7500000000000009,1,4.6,7943282.347242805
36,136,2010,4,1,4.425,4.9,180.525,33325756.047895115,7943282.347242805,0.625,0.2333333333333325,1,4.8,15848931.924611108
36,136,2011,3,1,4.766666666666667,4.9,122.43333333333334,46179425.65753734,15848931.924611108,0.9090909090909091,0.04999999999999982,0,0.0,0.0
36,136,2012,2,0,4.699999999999999,4.8,174.55,23792214.271853913,0.0,0.0,-0.6999999999999993,0,0.0,0.0
36,136,2013,1,0,4.8,4.8,6.8,15848931.924611108,0.0,0.0,-0.7999999999999998,1,5.0,31622776.60168379
36,136,2014,1,1,5.0,5.0,355.12,31622776.60168379,31622776.60168379,10.0,1.0,2,4.1,2412537.544622753
36,136,2015,3,2,4.366666666666666,5.0,240.9766666666667,34035314.146306545,2412537.544622753,3.3333333333333335,-0.9500000000000002,0,0.0,0.0
36,136,2016,3,0,4.366666666666666,5.0,240.9766666666667,34035314.146306545,0.0,0.0,-0.36666666666666625,1,4.8,15848931.924611108
36,136,2017,3,1,4.3,4.8,125.93666666666667,18261469.46923386,15848931.924611108,0.9090909090909091,0.75,2,4.3,3818382.9312644494
36,136,2018,3,2,4.366666666666667,4.8,123.26333333333334,19667314.85587556,3818382.9312644494,3.3333333333333335,-0.6499999999999995,0,0.0,0.0
36,136,2019,3,0,4.366666666666667,4.8,123.26333333333334,19667314.85587556,0.0,0.0,-0.36666666666666714,2,4.6,9355819.891865557
36,136,2020,4,2,4.25,4.6,178.97250000000003,13174202.823130006,9355819.891865557,1.8181818181818181,0.1999999999999993,1,4.2,1995262.3149688828
36,136,2021,3,1,4.3,4.6,238.09666666666666,11351082.20683444,1995262.3149688828,0.9090909090909091,-0.14999999999999947,0,0.0,0.0
36,136,2022,3,0,4.3,4.6,238.09666666666666,11351082.20683444,0.0,0.0,-0.2999999999999998,0,0.0,0.0
36,136,2023,1,0,4.2,4.2,358.19,1995262.3149688828,0.0,0.0,-0.20000000000000018,0,0.0,0.0
36,136,2024,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2,4.1,2825075.089245505
36,137,2002,3,1,4.166666666666667,4.2,191.76666666666665,5403062.174560518,1995262.3149688828,0.9090909090909091,0.04999999999999982,3,4.3,7049303.407151652
36,137,2003,5,3,4.2,4.3,221.7,10457103.266743287,7049303.407151652,2.727272727272727,0.08333333333333304,2,4.3,3818382.9312644494
36,137,2004,6,2,4.2,4.3,184.66666666666666,12862948.653384984,3818382.9312644494,0.9523809523809523,-0.07499999999999929,5,4.3,9632028.177497782
36,137,2005,10,5,4.18,4.3,161.31,20499714.51591388,9632028.177497782,1.923076923076923,-0.040000000000000036,4,4.2,6815599.719183271
36,137,2006,11,4,4.154545454545454,4.3,170.26363636363638,20266010.8279455,6815599.719183271,1.1111111111111112,-0.0071428571428571175,3,4.6,10768357.43648831
36,137,2007,12,3,4.183333333333334,4.6,178.94999999999996,27215985.33316936,10768357.43648831,0.6521739130434783,0.1111111111111116,1,4.1,1412537.5446227526
36,137,2008,8,1,4.1875,4.6,203.42499999999998,18996494.700294334,1412537.5446227526,0.2777777777777778,-0.10000000000000053,0,0.0,0.0
36,137,2009,4,0,4.225,4.6,200.35,12180894.981111063,0.0,0.0,-0.22499999999999964,1,5.4,125892541.17941713
36,137,2010,2,1,4.75,5.4,269.0,127305078.72403988,125892541.17941713,1.6666666666666667,1.3000000000000007,4,5.2,135774718.3007026
36,137,2011,5,4,5.0200000000000005,5.4,109.62,261667259.48011976,135774718.3007026,6.666666666666667,-0.47500000000000053,0,0.0,0.0
36,137,2012,5,0,5.0200000000000005,5.4,109.62,261667259.48011976,0.0,0.0,-1.0200000000000005,2,4.5,8441796.18316794
36,137,2013,6,2,4.75,5.2,132.6,144216514.48387054,8441796.18316794,0.9523809523809523,-0.5249999999999995,2,4.1,2412537.544622753
36,137,2014,4,2,4.225,4.5,265.61249999999995,10854333.727790693,2412537.544622753,1.8181818181818181,-0.35000000000000053,2,4.5,7035950.796526244
36,137,2015,6,2,4.25,4.5,260.39500000000004,17890284.524316937,7035950.796526244,0.9523809523809523,0.07500000000000018,2,4.2,2995262.314968883
36,137,2016,6,2,4.1499999999999995,4.5,219.97166666666666,12443750.656117879,2995262.314968883,0.9523809523809523,-0.07500000000000018,2,4.3,3818382.9312644494
36,137,2017,6,2,4.183333333333334,4.5,221.48833333333332,13849596.042759575,3818382.9312644494,0.9523809523809523,-0.049999999999998934,0,0.0,0.0
36,137,2018,4,0,4.125,4.3,207.2525,6813645.246233332,0.0,0.0,-0.125,0,0.0,0.0
36,137,2019,2,0,4.15,4.3,273.125,3818382.9312644494,0.0,0.0,-0.15000000000000036,2,4.5,6623413.251903491
36,137,2020,2,2,4.25,4.5,136.73999999999998,6623413.251903491,6623413.251903491,20.0,0.25,1,4.1,1412537.5446227526
36,137,2021,3,1,4.2,4.5,170.66333333333333,8035950.796526244,1412537.5446227526,0.9090909090909091,-0.15000000000000036,4,4.2,4995262.314968883
36,137,2022,7,4,4.114285714285714,4.5,224.18528571428573,13031213.111495126,4995262.314968883,2.5,-0.15000000000000036,2,4.2,3407799.8595916354
36,137,2023,7,2,4.085714285714286,4.2,222.89442857142856,9815599.71918327,3407799.8595916354,0.7692307692307692,0.09000000000000075,2,4.7,15201256.24855463
36,137,2024,8,2,4.2,4.7,199.0325,23604318.42311515,15201256.24855463,0.6451612903225806,0.4666666666666677,2,4.3,5636765.862528899
36,138,2002,3,1,4.233333333333333,4.4,67.26666666666667,7799454.636799427,3981071.7055349774,0.9090909090909091,0.25,3,4.5,11017022.502061222
36,138,2003,5,3,4.279999999999999,4.5,23.8,15998094.2075962,11017022.502061222,2.727272727272727,0.13333333333333286,2,4.8,27069116.46763076
36,138,2004,6,2,4.483333333333333,4.8,81.36666666666667,42067210.67522696,27069116.46763076,0.9523809523809523,0.40000000000000036,2,4.2,2995262.314968883
36,138,2005,7,2,4.385714285714286,4.8,134.9,41081401.28466086,2995262.314968883,0.7692307692307692,-0.40000000000000036,1,4.1,1412537.5446227526
36,138,2006,5,1,4.36,4.8,172.04000000000002,31476916.327222396,1412537.5446227526,0.47619047619047616,-0.3250000000000002,0,0.0,0.0
36,138,2007,3,0,4.1000000000000005,4.2,160.33333333333334,4407799.859591635,0.0,0.0,-0.10000000000000053,2,4.4,6799454.636799427
36,138,2008,3,2,4.266666666666667,4.4,72.03333333333333,8211992.18142218,6799454.636799427,3.3333333333333335,0.25,0,0.0,0.0
36,138,2009,2,0,4.35,4.4,100.6,6799454.636799427,0.0,0.0,-0.34999999999999964,0,0.0,0.0
36,138,2010,2,0,4.35,4.4,100.6,6799454.636799427,0.0,0.0,-0.34999999999999964,8,5.3,174370167.83854923
36,138,2011,8,8,4.6875,5.3,7.975,174370167.83854923,174370167.83854923,80.0,0.6875,0,0.0,0.0
36,138,2012,8,0,4.6875,5.3,7.975,174370167.83854923,0.0,0.0,-0.6875,1,4.4,3981071.7055349774
36,138,2013,9,1,4.655555555555556,5.3,8.2,178351239.5440842,3981071.7055349774,0.24390243902439027,-0.28749999999999964,5,4.7,25638314.74669145
36,138,2014,6,5,4.416666666666667,4.7,45.06,29619386.452226426,25638314.74669145,8.333333333333334,0.019999999999999574,0,0.0,0.0
36,138,2015,6,0,4.416666666666667,4.7,45.06,29619386.452226426,0.0,0.0,-0.41666666666666696,2,4.2,3990524.6299377657
36,138,2016,7,2,4.357142857142857,4.7,67.23142857142857,29628839.37662922,3990524.6299377657,0.7692307692307692,-0.21999999999999975,4,5.2,120396815.75075808
36,138,2017,6,4,4.583333333333333,5.2,39.49,124387340.38069585,120396815.75075808,3.6363636363636362,0.5750000000000002,0,0.0,0.0
36,138,2018,6,0,4.583333333333333,5.2,39.49,124387340.38069585,0.0,0.0,-0.583333333333333,1,4.6,7943282.347242805
36,138,2019,5,1,4.74,5.2,7.336,128340098.09800088,7943282.347242805,0.47619047619047616,-0.1750000000000007,14,5.2,230980112.21094918
36,138,2020,15,14,4.62,5.2,9.332,238923394.55819198,230980112.21094918,23.333333333333336,0.02142857142857224,3,5.1,48658883.845034026
36,138,2021,18,3,4.6,5.2,9.246666666666666,287582278.403226,48658883.845034026,0.39473684210526316,-0.1200000000000001,1,4.3,2818382.9312644494
36,138,2022,18,1,4.583333333333333,5.2,20.047777777777778,282457378.98724765,2818382.9312644494,0.11627906976744186,-0.3000000000000007,0,0.0,0.0
36,138,2023,4,0,4.45,5.1,57.72,51477266.77629847,0.0,0.0,-0.4500000000000002,1,4.2,1995262.3149688828
36,138,2024,2,1,4.25,4.3,195.576,4813645.246233332,1995262.3149688828,1.6666666666666667,-0.09999999999999964,1,4.1,1412537.5446227526
36,139,2002,6,1,4.383333333333334,4.6,101.36666666666666,25179795.482179053,2818382.9312644494,0.3846153846153846,-0.10000000000000053,0,0.0,0.0
36,139,2003,3,0,4.366666666666667,4.5,104.13333333333333,11260179.114432389,0.0,0.0,-0.36666666666666714,4,4.5,11437058.498136822
36,139,2004,5,4,4.26,4.5,106.02000000000001,14255441.429401271,11437058.498136822,6.666666666666667,-0.04999999999999982,3,4.2,5985786.944906648
36,139,2005,7,3,4.228571428571429,4.5,92.98571428571428,17422845.44304347,5985786.944906648,1.4285714285714286,-0.04999999999999982,2,4.3,5636765.862528899
36,139,2006,9,2,4.2444444444444445,4.5,93.78888888888889,23059611.30557237,5636765.862528899,0.5555555555555556,0.07142857142857117,4,4.4,11369943.27066159
36,139,2007,9,4,4.255555555555556,4.4,81.42222222222222,22992496.078097135,11369943.27066159,1.5384615384615383,0.03500000000000014,5,4.4,12613099.883032758
36,139,2008,11,5,4.263636363636364,4.4,89.55454545454546,29619809.016223244,12613099.883032758,1.6129032258064515,-0.04333333333333389,4,5.1,54625764.9411351
36,139,2009,13,4,4.338461538461539,5.1,101.3076923076923,78608808.09482944,54625764.9411351,0.8695652173913044,0.26944444444444393,0,0.0,0.0
36,139,2010,9,0,4.366666666666667,5.1,111.85555555555555,67238864.82416785,0.0,0.0,-0.36666666666666714,4,5.0,68048555.46165131
36,139,2011,8,4,4.625,5.1,110.625,122674320.4027864,68048555.46165131,1.9047619047619047,0.20000000000000018,3,5.5,187766485.66610396
36,139,2012,7,3,4.742857142857142,5.5,93.47142857142856,255815041.12775528,187766485.66610396,1.4285714285714286,0.041666666666666075,2,4.7,16843597.79492314
36,139,2013,9,2,4.71111111111111,5.5,87.25555555555555,272658638.9226785,16843597.79492314,0.5555555555555556,-0.14285714285714235,4,4.6,19203461.461675193
36,139,2014,9,4,4.5777777777777775,5.5,100.31,223813544.9227023,19203461.461675193,1.5384615384615383,-0.27500000000000036,5,4.9,44250110.1006729
36,139,2015,11,5,4.509090909090909,4.9,97.44181818181818,80297169.35727124,44250110.1006729,1.6129032258064515,0.056666666666665755,3,4.6,15561957.91411518
36,139,2016,12,3,4.475,4.9,109.22416666666668,79015529.47646326,15561957.91411518,0.6521739130434783,-0.05555555555555536,2,4.5,6623413.251903491
36,139,2017,10,2,4.45,4.9,94.991,66435481.266691566,6623413.251903491,0.48780487804878053,-0.25,2,4.5,11246826.503806982
36,139,2018,7,2,4.3999999999999995,4.6,87.78285714285714,33432197.669825654,11246826.503806982,0.7692307692307692,0.14000000000000057,4,4.6,21185371.166018672
36,139,2019,8,4,4.4125,4.6,82.5725,39055610.92172915,21185371.166018672,1.9047619047619047,0.07500000000000018,3,4.7,14215446.857988536
36,139,2020,9,3,4.4111111111111105,4.7,119.7811111111111,46647644.52781418,14215446.857988536,0.9677419354838709,-0.16666666666666696,3,4.8,25453416.882049575
36,139,2021,10,3,4.4399999999999995,4.8,117.26400000000001,60854234.90605678,25453416.882049575,0.8333333333333333,0.1809523809523812,3,4.8,27095758.428418092
36,139,2022,9,3,4.488888888888889,4.8,126.81833333333333,66764622.1684562,27095758.428418092,0.9677419354838709,0.16666666666666785,2,4.3,4230920.475887202
36,139,2023,8,2,4.487500000000001,4.8,106.41675000000001,56780095.78635487,4230920.475887202,0.6451612903225806,-0.38333333333333464,6,4.6,24690734.570656713
36,139,2024,11,6,4.390909090909091,4.8,99.58390909090909,56017413.474961996,24690734.570656713,2.3076923076923075,-0.08999999999999986,3,4.5,11017022.502061222
36,140,2002,34,8,4.497058823529412,6.2,79.24411764705881,2218502822.3553767,62885887.89999816,0.6106870229007634,-0.07788461538461533,15,5.3,243146732.22858402
36,140,2003,36,15,4.483333333333332,5.3,76.85833333333333,386109438.40851045,243146732.22858402,1.4150943396226416,0.1200000000000001,16,5.8,560969159.2946546
36,140,2004,39,16,4.47948717948718,5.8,73.11282051282052,867001779.4232368,560969159.2946546,1.3793103448275863,-0.08179347826087024,31,5.9,1406685541.2707524
36,140,2005,62,31,4.491935483870967,5.9,69.44193548387098,2210801432.793991,1406685541.2707524,1.9871794871794872,0.0032258064516117457,27,5.1,167146117.2963301
36,140,2006,74,27,4.4378378378378365,5.9,68.6837837837838,2134800817.8617375,167146117.2963301,1.1440677966101693,-0.09456264775413725,17,4.6,54794889.25903064
36,140,2007,75,17,4.406666666666666,5.9,67.90933333333334,1628626547.8261135,54794889.25903064,0.5841924398625429,-0.14553752535496933,25,5.2,202554999.67580536
36,140,2008,69,25,4.352173913043479,5.2,68.14202898550725,424496006.2311662,202554999.67580536,1.1312217194570136,0.018545454545455087,3,4.8,19256731.784202743
36,140,2009,45,3,4.337777777777779,5.2,66.53555555555556,276606620.7190388,19256731.784202743,0.14218009478672985,0.030952380952379954,16,5.1,98200091.87812768
36,140,2010,44,16,4.363636363636363,5.2,61.81590909090908,320011823.33813596,98200091.87812768,1.1347517730496455,-0.0017857142857140573,47,6.2,3536658400.7473326
36,140,2011,66,47,4.646969696969697,6.2,62.21515151515151,3654115224.4096622,3536658400.7473326,4.895833333333334,0.3985442329227329,37,5.8,1324718896.3872428
36,140,2012,100,37,4.695,6.2,63.11900000000001,4959577389.012703,1324718896.3872428,1.1708860759493671,0.09373659373659304,22,5.6,760353269.8666356
36,140,2013,106,22,4.752830188679245,6.2,65.5445283018868,5621730567.001211,760353269.8666356,0.5225653206650831,-0.02651515151515138,31,5.5,459188397.8611251
36,140,2014,90,31,4.688888888888889,5.8,66.2838888888889,2544260564.115003,459188397.8611251,1.0472972972972971,-0.1651175505740845,33,5.1,260177945.23520786
36,140,2015,86,33,4.561627906976745,5.6,65.87197674418604,1479719612.9629686,260177945.23520786,1.2406015037593985,-0.21309319611206412,41,5.4,436559525.8365783
36,140,2016,105,41,4.503809523809523,5.5,61.039523809523814,1155925868.9329112,436559525.8365783,1.277258566978193,0.0017530487804870987,33,5.1,219800989.6674909
36,140,2017,107,33,4.4672897196261685,5.4,61.416915887850465,916538460.7392769,219800989.6674909,0.889487870619946,-0.014045864045864498,20,4.8,116824438.1713714
36,140,2018,94,20,4.480851063829788,5.4,62.27085106382978,773184953.6754405,116824438.1713714,0.5390835579514824,-0.013783783783782866,19,5.0,124094083.02551572
36,140,2019,72,19,4.459722222222222,5.1,68.44611111111112,460719510.864378,124094083.02551572,0.7142857142857143,-0.009632571996027295,23,5.3,353320019.7469617
36,140,2020,62,23,4.506451612903225,5.3,68.78370967741937,594238540.9438486,353320019.7469617,1.173469387755102,0.1210702341137111,32,5.9,938772611.794146
36,140,2021,74,32,4.521621621621621,5.9,67.17891891891891,1416186714.5666232,938772611.794146,1.5165876777251184,-0.005059523809523903,34,5.0,226477148.73210225
36,140,2022,89,34,4.503370786516854,5.9,66.26735955056179,1518569780.2732098,226477148.73210225,1.2318840579710144,-0.1101604278074868,32,4.9,162842422.46273476
36,140,2023,98,32,4.446938775510204,5.9,67.34885714285714,1328092182.9889827,162842422.46273476,0.9667673716012084,-0.08825757575757631,33,5.2,267494775.56893262
36,140,2024,99,33,4.429292929292929,5.2,70.10177777777778,656814346.7637696,267494775.56893262,0.9969788519637461,0.051515151515151736,27,4.8,117825079.84386042
36,141,2002,44,12,4.613636363636364,5.7,49.98863636363637,1244473321.3577745,362506234.6490636,0.7453416149068323,-0.007291666666666252,19,5.7,729164439.6665735
36,141,2003,46,19,4.595652173913044,5.7,51.38913043478261,1300101029.3933508,729164439.6665735,1.397058823529412,0.04327485380116958,15,6.0,1863962258.9662106
36,141,2004,46,15,4.660869565217391,6.0,52.90217391304348,2955632933.2818484,1863962258.9662106,0.9615384615384616,0.13720430107526838,25,6.3,3137180252.8711534
36,141,2005,59,25,4.589830508474575,6.3,48.33559322033898,5730306951.503938,3137180252.8711534,1.461988304093567,-0.21141176470588263,12,5.7,374496675.2911754
